type,name,module,path,hash
"csv","agent-manifest","_cfg","_cfg/agent-manifest.csv","03c389034561b03e38c424e213b4b9d98cf3239614e05cd28329e53d4386931c"
"csv","task-manifest","_cfg","_cfg/task-manifest.csv","7fccf1cdffa6d592342f9edd9e13c042fffea2dbcbb79b043fbd69a7e610c875"
"csv","workflow-manifest","_cfg","_cfg/workflow-manifest.csv","792dc1fe221548b7139c455ee9047b0de610ecb7e6cf0e56de4a509e2f8674fd"
"yaml","manifest","_cfg","_cfg/manifest.yaml","1a32827ad765e52f934a8e629a04786615c246eeab60b3bc82c5e31e61546ac1"
"csv","advanced-elicitation-methods","core","core/tasks/advanced-elicitation-methods.csv","e08b2e22fec700274982e37be608d6c3d1d4d0c04fa0bae05aa9dba2454e6141"
"csv","brain-methods","core","core/workflows/brainstorming/brain-methods.csv","0ab5878b1dbc9e3fa98cb72abfc3920a586b9e2b42609211bb0516eefd542039"
"md","bmad-master","core","core/agents/bmad-master.md","a9316de299009e453e41fcda9099050e8770b8c2c8594a90b7c99a179e38e5fe"
"md","excalidraw-helpers","core","core/resources/excalidraw/excalidraw-helpers.md","37f18fa0bd15f85a33e7526a2cbfe1d5a9404f8bcb8febc79b782361ef790de4"
"md","library-loader","core","core/resources/excalidraw/library-loader.md","7837112bd0acb5906870dff423a21564879d49c5322b004465666a42c52477ab"
"md","README","core","core/resources/excalidraw/README.md","a188224350e2400410eb52b7d7a36b1ee39d2ea13be1b58b231845f6bc37f21b"
"md","step-01-agent-loading","core","core/workflows/party-mode/steps/step-01-agent-loading.md","67fea74140f85bfcd0d26c202fa6fdc146861cf0a68405a8b15c971dddcaa20f"
"md","step-01-session-setup","core","core/workflows/brainstorming/steps/step-01-session-setup.md","943118388f1cb81eda922240a944cff84517388298ead6b9e02f917432d8bf31"
"md","step-01b-continue","core","core/workflows/brainstorming/steps/step-01b-continue.md","9d531b012f85a2a7c3ddd94a2adeb8189eab24c370d099dbabb1bd6e33b3a9cb"
"md","step-02-discussion-orchestration","core","core/workflows/party-mode/steps/step-02-discussion-orchestration.md","1f0a6ca96139f522cc26ce6fdf78b4f94297201a53f06c30fb30e65717957cfb"
"md","step-02a-user-selected","core","core/workflows/brainstorming/steps/step-02a-user-selected.md","24158414bfe6daa46c94e6e43a9ec3a8d9a6dfe1b2a5bd8b719d06c775dcc73d"
"md","step-02b-ai-recommended","core","core/workflows/brainstorming/steps/step-02b-ai-recommended.md","68774e344cdcffbbd8fd9c5bec5bbe4cfd5297eb9734fc542606831becc38441"
"md","step-02c-random-selection","core","core/workflows/brainstorming/steps/step-02c-random-selection.md","24b54de6ed3a3b0b87a23a28a69a5fa73e8bf9fb80353fb12db8258c1e29ac95"
"md","step-02d-progressive-flow","core","core/workflows/brainstorming/steps/step-02d-progressive-flow.md","34b53545f18cd26db8bff81072e1c6b38efe031969e72d79c7efa2814f3b9073"
"md","step-03-graceful-exit","core","core/workflows/party-mode/steps/step-03-graceful-exit.md","c07d1b5c3b4d48e8903872f24654e96f8cadd1d08202be3f5c2e381aa664e9bb"
"md","step-03-technique-execution","core","core/workflows/brainstorming/steps/step-03-technique-execution.md","a0f7ef0d58ccf21c1e10b9ab221f8dbcc8ddc0c09b322da3863996e8731b6409"
"md","step-04-idea-organization","core","core/workflows/brainstorming/steps/step-04-idea-organization.md","2a7f516d0e598ec3462795b1e5fe2bf2f3745276ca6ae609eed5562bacf46b0d"
"md","template","core","core/workflows/brainstorming/template.md","5c99d76963eb5fc21db96c5a68f39711dca7c6ed30e4f7d22aedee9e8bb964f9"
"md","validate-json-instructions","core","core/resources/excalidraw/validate-json-instructions.md","0970bac93d52b4ee591a11998a02d5682e914649a40725d623489c77f7a1e449"
"md","workflow","core","core/workflows/brainstorming/workflow.md","55f659c2a6112aa205e8b746e9be18c0ce557b52be959e4e910fab45345323ee"
"md","workflow","core","core/workflows/party-mode/workflow.md","37fcfb881d6e0037a06ed3939152734de967ea47354098e497b2ea27193256e7"
"xml","advanced-elicitation","core","core/tasks/advanced-elicitation.xml","2de1a0ee3de157ae3235be567d4c025f03ac9e6ffbbca52b2bf3b2cd1b78a385"
"xml","bmad-web-orchestrator.agent","core","core/agents/bmad-web-orchestrator.agent.xml","8031397b7636dcf5321658c9f540749fa051f714d278a29c8b0645dfaacbf010"
"xml","index-docs","core","core/tasks/index-docs.xml","e71ea015d1a5ef8362bb85e0ef0015d10fd7ff01642c70d7ea17b327d74f5658"
"xml","shard-doc","core","core/tools/shard-doc.xml","615edc5e1d10d42bdc6f07b3288d7201b0ed53e94c39841475f2b1b23dd76394"
"xml","validate-workflow","core","core/tasks/validate-workflow.xml","8e1c05791708373db79cc0fc009f0cb5fb7b8423d67a569f16b119bc01370845"
"xml","workflow","core","core/tasks/workflow.xml","e0cacebed3c81a36dc622f4ace3093fd4affbfb6656a7be82689709858cff283"
"yaml","bmad-master.agent","core","core/agents/bmad-master.agent.yaml",""
"yaml","config","core","core/config.yaml","d110fab4f8ae579789d71b6206ca625afbbac8e3dc3fd0856606e858093a71e7"
"yaml","config","core","core/config.yaml","d110fab4f8ae579789d71b6206ca625afbbac8e3dc3fd0856606e858093a71e7"
"yaml","module","core","core/module.yaml","0de86d1aa90a35c20b17f5df4f62ae7e06e474adfe5bd7461290857270b6aeb2"
